poliza_id,edad_conductor,sexo,estado_civil,nivel_estudios,ocupacion,zona_residencia,region,antiguedad_cliente_anios,ingreso_mensual_mxn,score_crediticio,prima_mensual_mxn,suma_asegurada_mxn,deducible_pct,historial_siniestros_3_anios,km_anuales,edad_vehiculo_anios,tipo_vehiculo,uso_vehiculo,segmento_marca,metodo_pago,canal_venta,tiene_gps,asistencia_vial,mantenimiento_al_dia,dias_hasta_renovacion,puntaje_riesgo_zona,numero_siniestros_12m,costo_esperado_anual_mxn,riesgo_alto,clase_costo,km_por_anio_vehiculo,log_ingreso,ratio_prima_ingreso,siniestros_x_suma,siniestros_x_prima,grupo_edad
POL-00001,46,Femenino,Soltero,Posgrado,Independiente,Urbana,Sur,9.4,7038.0,613.0,472.0,140965.0,5,0,11526.0,9.0,Compacto,Particular,Economico,Mensual,Agente,Si,Si,Si,170,74.7,0,3321,0,Bajo,1152.6,8.85922139360813,0.06705497940048302,0.0,0.0,Adulto
POL-00002,38,Masculino,Casado,Licenciatura,Estudiante,Suburbana,Centro,0.9,19655.0,565.0,1116.0,295797.0,5,2,17925.0,3.7,Sedan,Particular,Medio,Anual,Agente,No,No,Si,100,57.4,0,7196,0,Medio,3813.829787234042,9.886137914201015,0.056776556776556776,0.0,0.0,Adulto_joven
POL-00003,48,Masculino,Divorciado,Licenciatura,Empleado,Urbana,Centro,0.1,16140.0,641.0,350.0,155918.0,10,0,11935.0,2.8,Compacto,Particular,Economico,Trimestral,Agente,No,No,Si,69,71.3,0,2046,0,Bajo,3140.789473684211,9.68911789777328,0.02168391053838052,0.0,0.0,Adulto
POL-00004,60,Femenino,Divorciado,Licenciatura,Empleado,Urbana,Sur,0.1,14954.0,570.0,519.0,148824.0,15,1,4986.0,2.0,Compacto,Particular,Economico,Anual,Online,Si,No,No,173,83.4,0,1379,0,Bajo,1662.0,9.612800971064049,0.03470411233701103,0.0,0.0,Mayor
POL-00005,37,Femenino,Soltero,Preparatoria,Empleado,Urbana,Centro,3.9,27192.0,586.0,571.0,298860.0,3,2,14287.0,5.8,Pickup,Particular,Economico,Mensual,Agente,Si,Si,No,188,73.6,1,11787,1,Alto,2101.029411764706,10.210714866221961,0.020998050968999375,298860.0,571.0,Adulto_joven
POL-00006,37,Femenino,Casado,Preparatoria,Estudiante,Suburbana,Centro,4.3,40749.0,552.0,415.0,608077.0,5,0,8039.0,8.3,Compacto,Particular,Premium,Mensual,Online,No,Si,No,214,43.2,0,10026,0,Medio,864.4086021505376,10.61521111866901,0.010184049079754601,0.0,0.0,Adulto_joven
POL-00007,61,Masculino,Soltero,Licenciatura,Independiente,Rural,Centro,1.5,20445.0,638.0,1883.0,345898.0,5,2,16624.0,7.8,Deportivo,Particular,Economico,Mensual,Agente,Si,No,Si,24,44.0,0,7441,0,Medio,1889.090909090909,9.92554254331696,0.09209625354592585,0.0,0.0,Mayor
POL-00008,50,Masculino,Viudo,Preparatoria,Estudiante,Urbana,Norte,1.5,24632.0,585.0,972.0,795379.0,5,1,8971.0,4.1,SUV,Particular,Premium,Anual,Agente,No,No,No,88,58.6,0,14107,1,Alto,1759.0196078431375,10.111842286376898,0.03945926196565583,0.0,0.0,Adulto
POL-00009,34,Masculino,Viudo,Licenciatura,Independiente,Urbana,Occidente,1.7,23428.0,718.0,350.0,509714.0,10,0,12816.0,4.7,Sedan,Trabajo,Premium,Anual,Broker,No,Si,Si,130,81.5,0,7954,0,Medio,2248.4210526315787,10.06172985026664,0.014938751120406334,0.0,0.0,Adulto_joven
POL-00010,47,Masculino,Casado,Posgrado,Empleado,Urbana,Centro,4.6,22022.0,680.0,924.0,204218.0,10,2,16504.0,2.8,SUV,Particular,Economico,Mensual,Agente,No,Si,Si,195,75.0,0,1818,0,Bajo,4343.1578947368425,9.99984264077889,0.04195613676610816,0.0,0.0,Adulto
POL-00011,34,Femenino,Casado,Licenciatura,Otro,Suburbana,Bajio,0.2,12084.0,645.0,1586.0,296085.0,5,1,14331.0,3.1,Sedan,Taxi/Plataforma,Medio,Mensual,Agente,Si,No,Si,318,66.3,0,7107,0,Medio,3495.3658536585367,9.399720293137584,0.13123707074886223,0.0,0.0,Adulto_joven
POL-00012,34,Femenino,Casado,Licenciatura,Empleado,Suburbana,Sur,10.6,40475.0,590.0,486.0,309613.0,5,0,16877.0,10.7,Sedan,Particular,Medio,Mensual,Agente,No,Si,Si,285,43.9,0,4582,0,Bajo,1442.4786324786326,10.60846448484965,0.012007115327601542,0.0,0.0,Adulto_joven
POL-00013,43,Femenino,Casado,Licenciatura,Estudiante,Rural,Norte,1.0,25878.0,679.0,350.0,224101.0,10,0,19242.0,1.5,SUV,Particular,Economico,Trimestral,Agente,Si,No,Si,224,50.8,1,5576,0,Medio,7696.8,10.161187107991946,0.013524479307546659,224101.0,350.0,Adulto
POL-00014,18,Femenino,Soltero,Licenciatura,Independiente,Urbana,Norte,25.0,27337.0,702.0,368.0,194744.0,5,0,9131.0,1.3,Sedan,Trabajo,Economico,Mensual,Agente,Si,Si,Si,348,54.1,0,1811,0,Bajo,3970.0000000000005,10.216032954712599,0.01346111639476187,0.0,0.0,Joven
POL-00015,18,Femenino,Casado,Preparatoria,Desconocido,Rural,Norte,0.8,14118.0,661.0,350.0,251097.0,15,0,15146.0,3.4,Pickup,Particular,Economico,Trimestral,Agente,No,No,No,333,29.3,0,5824,0,Medio,3442.272727272727,9.555276687009526,0.02478929102627665,0.0,0.0,Joven
POL-00016,33,Femenino,Casado,Secundaria,Otro,Urbana,Occidente,5.9,17090.0,770.0,350.0,312594.0,3,0,2500.0,12.9,Compacto,Particular,Medio,Mensual,Banco,No,Si,Si,340,61.8,0,4728,0,Bajo,179.85611510791367,9.746307288148506,0.020478614475454918,0.0,0.0,Adulto_joven
POL-00017,27,Masculino,Casado,Preparatoria,Empleado,Suburbana,Centro,1.0,19969.0,651.0,1713.0,385305.0,5,2,16860.0,5.4,SUV,Taxi/Plataforma,Medio,Mensual,Banco,Si,No,No,326,62.1,0,7938,0,Medio,2634.375,9.901986426409861,0.08577866800200301,0.0,0.0,Adulto_joven
POL-00018,44,Masculino,Soltero,Licenciatura,Empleado,Urbana,Centro,0.3,9462.0,719.0,350.0,157795.0,3,0,13846.0,18.2,Compacto,Particular,Economico,Mensual,Online,No,Si,Si,148,57.1,0,2729,0,Bajo,721.1458333333334,9.155144736508232,0.03698615660995456,0.0,0.0,Adulto
POL-00019,28,No especificado,Divorciado,Preparatoria,Profesor,Rural,Bajio,8.3,8694.0,660.0,655.0,187582.0,5,2,10091.0,4.3,Sedan,Trabajo,Economico,Trimestral,Agente,Si,Si,Si,70,41.9,0,3389,0,Bajo,1903.9622641509434,9.070503426788383,0.07533064979873491,0.0,0.0,Adulto_joven
POL-00020,22,Masculino,Soltero,Licenciatura,Empleado,Urbana,Centro,7.8,15810.0,701.0,671.0,569034.0,5,0,17236.0,8.0,Compacto,Particular,Premium,Mensual,Online,Si,No,Si,128,74.5,0,9506,0,Medio,1915.111111111111,9.668461179310146,0.04243880842451458,0.0,0.0,Joven
POL-00021,59,Masculino,Casado,Preparatoria,Independiente,Suburbana,Norte,2.1,29325.0,590.0,350.0,178442.0,10,0,21950.0,9.9,Compacto,Trabajo,Economico,Anual,Agente,No,No,Si,289,56.8,0,3535,0,Bajo,2013.761467889908,10.286229773537025,0.011934801882288754,0.0,0.0,Adulto
POL-00022,37,Femenino,Casado,Licenciatura,Empleado,Suburbana,Bajio,4.8,15361.0,616.0,350.0,352402.0,10,0,12882.0,16.4,Sedan,Particular,Medio,Trimestral,Agente,Si,No,No,86,67.7,0,4501,0,Bajo,740.344827586207,9.639652206558628,0.022783491732847286,0.0,0.0,Adulto_joven
POL-00023,41,Masculino,Casado,Secundaria,Estudiante,Urbana,Occidente,3.3,12562.0,676.0,569.0,153642.0,5,0,10304.0,3.6,Sedan,Particular,Economico,Mensual,Agente,Si,Si,Si,17,65.0,0,1548,0,Bajo,2240.0,9.438511265004419,0.0452917296824007,0.0,0.0,Adulto
POL-00024,21,Masculino,Casado,Licenciatura,Empleado,Urbana,Norte,7.7,21511.5,676.0,694.0,315640.0,5,2,16408.0,5.4,Sedan,Particular,Medio,Mensual,Online,Si,No,Si,42,61.5,0,5654,0,Medio,2563.75,9.976389440519794,0.03226031377106334,0.0,0.0,Joven
POL-00025,33,Femenino,Soltero,Licenciatura,Empleado,Rural,Occidente,1.5,17126.0,688.0,655.0,551574.0,10,0,8154.0,4.8,Compacto,Particular,Premium,Anual,Agente,Si,No,Si,75,33.2,0,7534,0,Medio,1405.8620689655172,9.748411444632369,0.038243708763939975,0.0,0.0,Adulto_joven
POL-00026,41,Femenino,Soltero,Secundaria,Independiente,Urbana,Centro,3.0,18109.0,733.0,446.0,198070.0,10,0,11868.0,8.4,Compacto,Particular,Economico,Mensual,Agente,Si,Si,Si,333,62.1,0,2171,0,Bajo,1262.5531914893616,9.804219550877459,0.02462727774710105,0.0,0.0,Adulto
POL-00027,25,Masculino,Casado,Preparatoria,Otro,Urbana,Sur,2.7,72391.0,543.0,558.0,173016.0,5,1,22223.0,12.1,Sedan,Particular,Economico,Mensual,Agente,No,Si,Si,40,56.2,0,2945,0,Bajo,1696.4122137404581,11.189851075030969,0.007708034036910156,0.0,0.0,Adulto_joven
POL-00028,45,Femenino,Casado,Licenciatura,Empleado,Urbana,Occidente,1.7,39294.0,577.0,756.0,355515.0,10,1,15842.0,12.1,SUV,Particular,Medio,Anual,Agente,No,Si,Si,361,50.6,0,5699,0,Medio,1209.3129770992366,10.578852563300275,0.019239088942613565,0.0,0.0,Adulto
